yourlist:M202109285BF3C56A578D7D6DFD1FC81EE5DA773020E3889	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q6PDM1	Q6PDM1	MSL1_MOUSE	reviewed	Male-specific lethal 1 homolog (MSL-1) (Hampin) (Male-specific lethal 1-like 1) (MSL1-like 1) (Male-specific lethal-1 homolog 1)	Msl1 Msl1l1	Mus musculus (Mouse)	616
Q69ZF8	Q69ZF8	MSL2_MOUSE	reviewed	E3 ubiquitin-protein ligase MSL2 (EC 2.3.2.-) (E3 ubiquitin-protein transferase MSL2) (Male-specific lethal 2-like 1) (MSL2-like 1) (Male-specific lethal-2 homolog) (MSL-2) (Male-specific lethal-2 homolog 1) (RING finger protein 184)	Msl2 Kiaa1585 Msl2l1 Rnf184	Mus musculus (Mouse)	577
A2RSY1	A2RSY1	KANL3_MOUSE	reviewed	KAT8 regulatory NSL complex subunit 3 (NSL complex protein NSL3) (Non-specific lethal 3 homolog)	Kansl3 Kiaa1310 Nsl3	Mus musculus (Mouse)	903
Q5FWH3	Q5FWH3	GRHL3_MOUSE	reviewed	Grainyhead-like protein 3 homolog (Transcription factor CP2-like 4)	Grhl3 Get1 Som Tfcp2l4	Mus musculus (Mouse)	603
Q80TG1	Q80TG1	KANL1_MOUSE	reviewed	KAT8 regulatory NSL complex subunit 1 (NSL complex protein NSL1) (Non-specific lethal 1 homolog)	Kansl1 Kiaa1267 Nsl1	Mus musculus (Mouse)	1036
Q8VCD7	Q8VCD7	KDM4C_MOUSE	reviewed	Lysine-specific demethylase 4C (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3C) (Jumonji domain-containing protein 2C) ([histone H3]-trimethyl-L-lysine(9) demethylase 4C)	Kdm4c Jhdm3c Jmjd2c Kiaa0780	Mus musculus (Mouse)	1054
Q6NZA9	Q6NZA9	TAF9B_MOUSE	reviewed	Transcription initiation factor TFIID subunit 9B (Transcription initiation factor TFIID subunit 9-like) (Transcription-associated factor TAFII31L)	Taf9b Taf9l	Mus musculus (Mouse)	249
Q9WV60	Q9WV60	GSK3B_MOUSE	reviewed	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	Gsk3b	Mus musculus (Mouse)	420
O88508	O88508	DNM3A_MOUSE	reviewed	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase MmuIIIA) (DNA MTase MmuIIIA) (M.MmuIIIA)	Dnmt3a	Mus musculus (Mouse)	908
Q8BW72	Q8BW72	KDM4A_MOUSE	reviewed	Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A)	Kdm4a Jhdm3a Jmjd2 Jmjd2a Kiaa0677	Mus musculus (Mouse)	1064
Q8BP71	Q8BP71	RFOX2_MOUSE	reviewed	RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Fox-1 homolog Fxh) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9)	Rbfox2 Fox2 Fxh Hrnbp2 Rbm9	Mus musculus (Mouse)	449
Q80XU3	Q80XU3	NUCKS_MOUSE	reviewed	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (JC7)	Nucks1 Nucks	Mus musculus (Mouse)	234
P83917	P83917	CBX1_MOUSE	reviewed	Chromobox protein homolog 1 (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein)	Cbx1 Cbx	Mus musculus (Mouse)	185
O54864	O54864	SUV91_MOUSE	reviewed	Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.355) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1)	Suv39h1 Suv39h	Mus musculus (Mouse)	412
Q9EQQ0	Q9EQQ0	SUV92_MOUSE	reviewed	Histone-lysine N-methyltransferase SUV39H2 (EC 2.1.1.355) (Histone H3-K9 methyltransferase 2) (H3-K9-HMTase 2) (Suppressor of variegation 3-9 homolog 2) (Su(var)3-9 homolog 2)	Suv39h2	Mus musculus (Mouse)	477
C3VPR6	C3VPR6	NLRC5_MOUSE	reviewed	Protein NLRC5	Nlrc5	Mus musculus (Mouse)	1915
Q99LL5	Q99LL5	PWP1_MOUSE	reviewed	Periodic tryptophan protein 1 homolog	Pwp1	Mus musculus (Mouse)	501
Q02248	Q02248	CTNB1_MOUSE	reviewed	Catenin beta-1 (Beta-catenin)	Ctnnb1 Catnb	Mus musculus (Mouse)	781
P61375	P61375	LHX5_MOUSE	reviewed	LIM/homeobox protein Lhx5 (LIM homeobox protein 5)	Lhx5	Mus musculus (Mouse)	402
Q921C3	Q921C3	BRWD1_MOUSE	reviewed	Bromodomain and WD repeat-containing protein 1 (WD repeat-containing protein 9)	Brwd1 Wdr9	Mus musculus (Mouse)	2304
Q7JJ13	Q7JJ13	BRD2_MOUSE	reviewed	Bromodomain-containing protein 2 (Female sterile homeotic-related protein 1) (Fsrg-1) (Protein RING3)	Brd2 Fsrg1 Kiaa4005 Ring3	Mus musculus (Mouse)	798
Q8K2F0	Q8K2F0	BRD3_MOUSE	reviewed	Bromodomain-containing protein 3 (Bromodomain-containing FSH-like protein FSRG2)	Brd3 Fsrg2	Mus musculus (Mouse)	726
P54728	P54728	RD23B_MOUSE	reviewed	UV excision repair protein RAD23 homolog B (HR23B) (mHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	Rad23b Mhr23b	Mus musculus (Mouse)	416
Q923E4	Q923E4	SIR1_MOUSE	reviewed	NAD-dependent protein deacetylase sirtuin-1 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (SIR2alpha) (Sir2) (mSIR2a) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	Sirt1 Sir2l1	Mus musculus (Mouse)	737
P51827	P51827	AFF3_MOUSE	reviewed	AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4) (Protein LAF-4)	Aff3 Laf4	Mus musculus (Mouse)	1254
Q69ZK6	Q69ZK6	JHD2C_MOUSE	reviewed	Probable JmjC domain-containing histone demethylation protein 2C (EC 1.14.11.-) (Jumonji domain-containing protein 1C)	Jmjd1c Jhdm2c Kiaa1380	Mus musculus (Mouse)	2350
P59941	P59941	SIR6_MOUSE	reviewed	NAD-dependent protein deacetylase sirtuin-6 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 6) (SIR2-like protein 6)	Sirt6 Sir2l6	Mus musculus (Mouse)	334
Q60953	Q60953	PML_MOUSE	reviewed	Protein PML	Pml	Mus musculus (Mouse)	885
Q9R207	Q9R207	NBN_MOUSE	reviewed	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1 homolog)	Nbn Nbs1	Mus musculus (Mouse)	751
Q3URQ0	Q3URQ0	TEX10_MOUSE	reviewed	Testis-expressed protein 10	Tex10	Mus musculus (Mouse)	928
Q9WTI7	Q9WTI7	MYO1C_MOUSE	reviewed	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	Myo1c	Mus musculus (Mouse)	1063
Q8CHI8	Q8CHI8	EP400_MOUSE	reviewed	E1A-binding protein p400 (EC 3.6.4.-) (Domino homolog) (mDomino) (p400 kDa SWI2/SNF2-related protein)	Ep400 Kiaa1498	Mus musculus (Mouse)	3072
Q9CWR2	Q9CWR2	SMYD3_MOUSE	reviewed	Histone-lysine N-methyltransferase SMYD3 (EC 2.1.1.354) (SET and MYND domain-containing protein 3) (Zinc finger MYND domain-containing protein 1)	Smyd3 Zmynd1	Mus musculus (Mouse)	428
P23798	P23798	PCGF2_MOUSE	reviewed	Polycomb group RING finger protein 2 (DNA-binding protein Mel-18) (Melanoma nuclear protein 18) (RING finger protein 110) (Zinc finger protein 144) (Zfp-144)	Pcgf2 Mel-18 Mel18 Rnf110 Zfp144 Znf144	Mus musculus (Mouse)	342
P60710	P60710	ACTB_MOUSE	reviewed	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Actb	Mus musculus (Mouse)	375
Q61029	Q61029	LAP2B_MOUSE	reviewed	Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma (Thymopoietin isoforms beta/delta/epsilon/gamma) (TP beta/delta/epsilon/gamma)	Tmpo Lap2	Mus musculus (Mouse)	452
P48678	P48678	LMNA_MOUSE	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C]	Lmna Lmn1	Mus musculus (Mouse)	665
Q8CDM1	Q8CDM1	ATAD2_MOUSE	reviewed	ATPase family AAA domain-containing protein 2 (EC 3.6.1.-)	Atad2	Mus musculus (Mouse)	1040
Q9QWF0	Q9QWF0	CAF1A_MOUSE	reviewed	Chromatin assembly factor 1 subunit A (CAF-1 subunit A) (Chromatin assembly factor I p150 subunit) (CAF-I 150 kDa subunit) (CAF-I p150)	Chaf1a Caip150	Mus musculus (Mouse)	911
G3X9G7	G3X9G7	ZN809_MOUSE	reviewed	Zinc finger protein 809	Zfp809	Mus musculus (Mouse)	402
Q6P2L6	Q6P2L6	NSD3_MOUSE	reviewed	Histone-lysine N-methyltransferase NSD3 (EC 2.1.1.370) (EC 2.1.1.371) (Nuclear SET domain-containing protein 3) (Wolf-Hirschhorn syndrome candidate 1-like protein 1 homolog) (WHSC1-like protein 1)	Nsd3 Whsc1l1	Mus musculus (Mouse)	1439
A0A023J5X2	A0A023J5X2	A0A023J5X2_MOUSE	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Mus musculus musculus (eastern European house mouse)	607
Q7TPV2	Q7TPV2	DZIP3_MOUSE	reviewed	E3 ubiquitin-protein ligase DZIP3 (EC 2.3.2.27) (DAZ-interacting protein 3 homolog) (RING-type E3 ubiquitin transferase DZIP3)	Dzip3 Kiaa0675	Mus musculus (Mouse)	1204
Q5XJE5	Q5XJE5	LEO1_MOUSE	reviewed	RNA polymerase-associated protein LEO1	Leo1 Gm185	Mus musculus (Mouse)	667
P55098	P55098	PEX2_MOUSE	reviewed	Peroxisome biogenesis factor 2 (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1)	Pex2 Paf1 Pmp35 Pxmp3	Mus musculus (Mouse)	305
A2AQ19	A2AQ19	RTF1_MOUSE	reviewed	RNA polymerase-associated protein RTF1 homolog	Rtf1	Mus musculus (Mouse)	715
Q61656	Q61656	DDX5_MOUSE	reviewed	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box RNA helicase DEAD1) (mDEAD1) (DEAD box protein 5) (RNA helicase p68)	Ddx5 Tnz2	Mus musculus (Mouse)	614
Q8K3Y3	Q8K3Y3	LN28A_MOUSE	reviewed	Protein lin-28 homolog A (Lin-28A) (Testis-expressed protein 17)	Lin28a Lin28 Tex17	Mus musculus (Mouse)	209
Q9D4J7	Q9D4J7	PHF6_MOUSE	reviewed	PHD finger protein 6	Phf6 Kiaa1823	Mus musculus (Mouse)	364
A2AM29	A2AM29	AF9_MOUSE	reviewed	Protein AF-9 (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein homolog)	Mllt3 Af9	Mus musculus (Mouse)	569
Q9QXG4	Q9QXG4	ACSA_MOUSE	reviewed	Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)	Acss2 Acas2 Acecs1	Mus musculus (Mouse)	701
Q8BIH0	Q8BIH0	SP130_MOUSE	reviewed	Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130)	Sap130	Mus musculus (Mouse)	1057
F7BJB9	F7BJB9	MORC3_MOUSE	reviewed	MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3)	Morc3 Nxp2 Zcwcc3	Mus musculus (Mouse)	942
Q9JHD1	Q9JHD1	KAT2B_MOUSE	reviewed	Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	Kat2b Pcaf	Mus musculus (Mouse)	813
Q9QZL6	Q9QZL6	UBP21_MOUSE	reviewed	Ubiquitin carboxyl-terminal hydrolase 21 (EC 3.4.19.12) (Deubiquitinating enzyme 21) (Ubiquitin thioesterase 21) (Ubiquitin-specific-processing protease 21)	Usp21 Usp23	Mus musculus (Mouse)	566
Q8BSP2	Q8BSP2	CNDH2_MOUSE	reviewed	Condensin-2 complex subunit H2 (Kleisin-beta) (Non-SMC condensin II complex subunit H2)	Ncaph2 D15Ertd785e	Mus musculus (Mouse)	607
Q7TSZ8	Q7TSZ8	NACC1_MOUSE	reviewed	Nucleus accumbens-associated protein 1 (NAC-1) (BTB/POZ domain-containing protein 14B)	Nacc1 Btbd14b Nac1	Mus musculus (Mouse)	514
Q8C8M1	Q8C8M1	SHCAF_MOUSE	reviewed	SIN3-HDAC complex-associated factor (Protein FAM60A) (Tera protein)	Sinhcaf Fam60a Tera	Mus musculus (Mouse)	221
Q61818	Q61818	RAI1_MOUSE	reviewed	Retinoic acid-induced protein 1	Rai1 Kiaa1820	Mus musculus (Mouse)	1889
Q3U182	Q3U182	CRTC2_MOUSE	reviewed	CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2)	Crtc2 Torc2	Mus musculus (Mouse)	692
Q99NA9	Q99NA9	PCGF6_MOUSE	reviewed	Polycomb group RING finger protein 6 (Mel18 and Bmi1-like RING finger) (RING finger protein 134)	Pcgf6 Mblr Rnf134	Mus musculus (Mouse)	353
Q64028	Q64028	PHC1_MOUSE	reviewed	Polyhomeotic-like protein 1 (mPH1) (Early development regulatory protein 1) (RAE-28)	Phc1 Edr Edr1 Rae28	Mus musculus (Mouse)	1012
P97449	P97449	AMPN_MOUSE	reviewed	Aminopeptidase N (AP-N) (mAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Membrane protein p161) (Microsomal aminopeptidase) (CD antigen CD13)	Anpep Lap-1 Lap1	Mus musculus (Mouse)	966
P70327	P70327	TBX6_MOUSE	reviewed	T-box transcription factor TBX6 (T-box protein 6)	Tbx6	Mus musculus (Mouse)	436
Q64511	Q64511	TOP2B_MOUSE	reviewed	DNA topoisomerase 2-beta (EC 5.6.2.2) (DNA topoisomerase II, beta isozyme)	Top2b	Mus musculus (Mouse)	1612
Q3TYX3	Q3TYX3	SMYD5_MOUSE	reviewed	SET and MYND domain-containing protein 5 (EC 2.1.1.-) (Protein NN8-4AG) (Retinoic acid-induced protein 15)	Smyd5 Rai15	Mus musculus (Mouse)	416
Q9WTK2	Q9WTK2	CDYL_MOUSE	reviewed	Chromodomain Y-like protein (CDY-like) (Crotonyl-CoA hydratase) (EC 4.2.1.-) (Putative histone acetyltransferase Cdyl) (EC 2.3.1.48)	Cdyl	Mus musculus (Mouse)	593
Q3TV65	Q3TV65	MPND_MOUSE	reviewed	MPN domain-containing protein (EC 3.4.-.-)	Mpnd	Mus musculus (Mouse)	487
Q9WVG6	Q9WVG6	CARM1_MOUSE	reviewed	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	Carm1 Prmt4	Mus musculus (Mouse)	608
Q6ZQL4	Q6ZQL4	WDR43_MOUSE	reviewed	WD repeat-containing protein 43	Wdr43 Kiaa0007	Mus musculus (Mouse)	677
Q9JI13	Q9JI13	SAS10_MOUSE	reviewed	Something about silencing protein 10 (Charged amino acid-rich leucine zipper 1) (Crl-1) (Disrupter of silencing SAS10) (UTP3 homolog)	Utp3 Crl1 Crlz1 Sas10	Mus musculus (Mouse)	469
Q8VCY6	Q8VCY6	UTP6_MOUSE	reviewed	U3 small nucleolar RNA-associated protein 6 homolog (Multiple hat domains protein)	Utp6 Mhat	Mus musculus (Mouse)	597
P70278	P70278	STRA8_MOUSE	reviewed	Stimulated by retinoic acid gene 8 protein	Stra8	Mus musculus (Mouse)	393
P50247	P50247	SAHH_MOUSE	reviewed	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (CUBP) (Liver copper-binding protein) (S-adenosyl-L-homocysteine hydrolase)	Ahcy	Mus musculus (Mouse)	432
P58462	P58462	FOXP1_MOUSE	reviewed	Forkhead box protein P1 (Forkhead-related transcription factor 1)	Foxp1	Mus musculus (Mouse)	705
P31311	P31311	HXA11_MOUSE	reviewed	Homeobox protein Hox-A11 (Homeobox protein Hox-1.9)	Hoxa11 Hox-1.9 Hoxa-11	Mus musculus (Mouse)	313
P35396	P35396	PPARD_MOUSE	reviewed	Peroxisome proliferator-activated receptor delta (PPAR-delta) (Nuclear hormone receptor 1) (NUC1) (Nuclear receptor subfamily 1 group C member 2) (Peroxisome proliferator-activated receptor beta) (PPAR-beta)	Ppard Nr1c2 Pparb	Mus musculus (Mouse)	440
P70397	P70397	DLX6_MOUSE	reviewed	Homeobox protein DLX-6	Dlx6	Mus musculus (Mouse)	175
Q7TNE6	Q7TNE6	Q7TNE6_MOUSE	unreviewed	Double homeobox B-like (Double homeobox B-like 1) (Double homeodomain protein)	Duxbl1 Duxbl	Mus musculus (Mouse)	350
Q811B5	Q811B5	PRR3_MOUSE	reviewed	Proline-rich protein 3 (MHC class I region proline-rich protein CAT56)	Prr3 Cat56	Mus musculus (Mouse)	190
Q810N8	Q810N8	Q810N8_MOUSE	unreviewed	Reproductive homeobox 11 (Reproductive homeobox on X chromosome 11)	Rhox11	Mus musculus (Mouse)	206
Q9QZ28	Q9QZ28	SIX6_MOUSE	reviewed	Homeobox protein SIX6 (Optic homeobox 2) (Sine oculis homeobox homolog 6) (Six9 protein)	Six6 Optx2 Six9	Mus musculus (Mouse)	246
P43267	P43267	SOX15_MOUSE	reviewed	Protein SOX-15	Sox15 Sox-15	Mus musculus (Mouse)	231
Q6P3Z3	Q6P3Z3	THAP4_MOUSE	reviewed	Peroxynitrite isomerase THAP4 (EC 5.99.-.-) (THAP domain-containing protein 4)	Thap4	Mus musculus (Mouse)	569
Q80W03	Q80W03	TOX3_MOUSE	reviewed	TOX high mobility group box family member 3 (Trinucleotide repeat-containing gene 9 protein)	Tox3 Tnrc9	Mus musculus (Mouse)	575
Q9ERR8	Q9ERR8	ZN319_MOUSE	reviewed	Zinc finger protein 319	Znf319 Zfp319	Mus musculus (Mouse)	581
Q9ET78	Q9ET78	JPH2_MOUSE	reviewed	Junctophilin-2 (JP-2) (Junctophilin type 2) [Cleaved into: Junctophilin-2 N-terminal fragment (JP2NT)]	Jph2 Jp2	Mus musculus (Mouse)	696
Q924K8	Q924K8	MTA3_MOUSE	reviewed	Metastasis-associated protein MTA3	Mta3	Mus musculus (Mouse)	591
Q8C6L5	Q8C6L5	CGAS_MOUSE	reviewed	Cyclic GMP-AMP synthase (cGAMP synthase) (cGAS) (m-cGAS) (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1)	Cgas Mb21d1	Mus musculus (Mouse)	507
F8VPP0	F8VPP0	F8VPP0_MOUSE	unreviewed	Zinc finger protein 708	Zfp708	Mus musculus (Mouse)	541
Q9D030	Q9D030	TWST2_MOUSE	reviewed	Twist-related protein 2 (Dermis-expressed protein 1) (Dermo-1)	Twist2 Dermo1	Mus musculus (Mouse)	160
P61979	P61979	HNRPK_MOUSE	reviewed	Heterogeneous nuclear ribonucleoprotein K (hnRNP K)	Hnrnpk Hnrpk	Mus musculus (Mouse)	463
Q61324	Q61324	ARNT2_MOUSE	reviewed	Aryl hydrocarbon receptor nuclear translocator 2 (ARNT protein 2)	Arnt2 Kiaa0307	Mus musculus (Mouse)	712
Q9QXE7	Q9QXE7	TBL1X_MOUSE	reviewed	F-box-like/WD repeat-containing protein TBL1X (Transducin beta-like protein 1X)	Tbl1x Tbl1	Mus musculus (Mouse)	527
Q8CGN4	Q8CGN4	BCOR_MOUSE	reviewed	BCL-6 corepressor (BCoR)	Bcor Kiaa1575	Mus musculus (Mouse)	1759
Q8R023	Q8R023	PCGF1_MOUSE	reviewed	Polycomb group RING finger protein 1 (Nervous system Polycomb-1) (NSPc1) (RING finger protein 68)	Pcgf1 Nspc1 Rnf68	Mus musculus (Mouse)	259
Q8BTQ0	Q8BTQ0	PCGF3_MOUSE	reviewed	Polycomb group RING finger protein 3 (RING finger protein 3A)	PcgF3 Rnf3 Rnf3a	Mus musculus (Mouse)	241
O88621	O88621	FOXH1_MOUSE	reviewed	Forkhead box protein H1 (Forkhead activin signal transducer 1) (Fast-1) (Forkhead activin signal transducer 2) (Fast-2)	Foxh1 Fast1 Fast2	Mus musculus (Mouse)	401
P30882	P30882	CCL5_MOUSE	reviewed	C-C motif chemokine 5 (MuRantes) (SIS-delta) (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	Ccl5 Scya5	Mus musculus (Mouse)	91
Q8BKJ9	Q8BKJ9	SIR7_MOUSE	reviewed	NAD-dependent protein deacetylase sirtuin-7 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-7) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 7) (SIR2-like protein 7)	Sirt7 Sir2l7	Mus musculus (Mouse)	402
Q8C735	Q8C735	LIN9_MOUSE	reviewed	Protein lin-9 homolog (mLin-9) (TUDOR gene similar 1 protein) (Type I interferon receptor beta chain-associated protein)	Lin9 Bara Tgs1	Mus musculus (Mouse)	542
Q99JF8	Q99JF8	PSIP1_MOUSE	reviewed	PC4 and SFRS1-interacting protein (Lens epithelium-derived growth factor) (mLEDGF)	Psip1 Ledgf	Mus musculus (Mouse)	528
Q3UMU9	Q3UMU9	HDGR2_MOUSE	reviewed	Hepatoma-derived growth factor-related protein 2 (HRP-2)	Hdgfl2 Hdgfrp2	Mus musculus (Mouse)	669
Q91VY5	Q91VY5	KDM4B_MOUSE	reviewed	Lysine-specific demethylase 4B (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3B) (Jumonji domain-containing protein 2B) ([histone H3]-trimethyl-L-lysine(9) demethylase 4B)	Kdm4b Jhdm3b Jmjd2b	Mus musculus (Mouse)	1086
Q5XJV7	Q5XJV7	SETD5_MOUSE	reviewed	Histone-lysine N-methyltransferase SETD5 (EC 2.1.1.359) (EC 2.1.1.367) (SET domain-containing protein 5)	Setd5 Kiaa1757	Mus musculus (Mouse)	1441
Q5DTW2	Q5DTW2	SMBT2_MOUSE	reviewed	Scm-like with four MBT domains protein 2	Sfmbt2 Kiaa1617	Mus musculus (Mouse)	938
Q8K293	Q8K293	Q8K293_MOUSE	unreviewed	2610305D13Rik protein (Fragment)	Zfp979 2610305D13Rik	Mus musculus (Mouse)	319
E9Q3U2	E9Q3U2	E9Q3U2_MOUSE	unreviewed	Predicted gene 20449	Gm20449 AW146154	Mus musculus (Mouse)	39
Q32P14	Q32P14	Q32P14_MOUSE	unreviewed	Predicted gene, OTTMUSG00000010173 (Zinc finger protein 987)	Zfp987 Gm13051 OTTMUSG00000010173	Mus musculus (Mouse)	633
Q8R1N3	Q8R1N3	Q8R1N3_MOUSE	unreviewed	Predicted gene, OTTMUSG00000010657 (Zinc finger protein 991)	Zfp991 Gm13139 OTTMUSG00000010657	Mus musculus (Mouse)	573
H3BLB0	H3BLB0	H3BLB0_MOUSE	unreviewed	Zinc finger protein 989	Zfp989	Mus musculus (Mouse)	661
Q6NXV0	Q6NXV0	Q6NXV0_MOUSE	unreviewed	Uncharacterized protein	Zfp982 Gm13152	Mus musculus (Mouse)	385
Q5U4F7	Q5U4F7	Q5U4F7_MOUSE	unreviewed	Predicted gene, OTTMUSG00000010673	Zfp985 Gm13154 OTTMUSG00000010673	Mus musculus (Mouse)	519
A2A7A2	A2A7A2	A2A7A2_MOUSE	unreviewed	Zinc finger protein 984	Zfp984	Mus musculus (Mouse)	547
B1ASQ6	B1ASQ6	B1ASQ6_MOUSE	unreviewed	Zinc finger protein 268	Zfp268	Mus musculus (Mouse)	420
B1AVN4	B1AVN4	B1AVN4_MOUSE	unreviewed	Zinc finger protein 990 (Fragment)	Zfp990	Mus musculus (Mouse)	44
L7MUC9	L7MUC9	L7MUC9_MOUSE	unreviewed	Zinc finger protein 986 (Fragment)	Zfp986	Mus musculus (Mouse)	401
A2A8V6	A2A8V6	A2A8V6_MOUSE	unreviewed	Zinc finger protein 981 (Fragment)	Zfp981	Mus musculus (Mouse)	133
B1ASD8	B1ASD8	B1ASD8_MOUSE	unreviewed	Zinc finger protein 992	Zfp992	Mus musculus (Mouse)	573
A2BG90	A2BG90	A2BG90_MOUSE	unreviewed	Novel KRAB box and zinc finger, C2H2 type domain containing protein (Predicted gene 14295) (Predicted gene 14419) (Predicted gene 2004)	Gm14295 Gm14419 Gm2004 RP23-86F8.3-001	Mus musculus (Mouse)	64
A2BFG5	A2BFG5	A2BFG5_MOUSE	unreviewed	Predicted gene 14326	Gm14326	Mus musculus (Mouse)	554
Q8C1K5	Q8C1K5	Q8C1K5_MOUSE	unreviewed	Predicted gene 14391 (Predicted gene 6710) (WF-4)	Gm14391 Gm6710	Mus musculus (Mouse)	64
A2ARW5	A2ARW5	A2ARW5_MOUSE	unreviewed	Predicted gene 14393	Gm14393	Mus musculus (Mouse)	187
A2ARW7	A2ARW7	A2ARW7_MOUSE	unreviewed	Predicted gene 14399	Gm14399	Mus musculus (Mouse)	156
A2ARV7	A2ARV7	A2ARV7_MOUSE	unreviewed	Predicted gene 14401	Gm14401	Mus musculus (Mouse)	303
A2BFU6	A2BFU6	A2BFU6_MOUSE	unreviewed	Predicted gene 14406	Gm14406	Mus musculus (Mouse)	426
A2ARW1	A2ARW1	A2ARW1_MOUSE	unreviewed	Predicted gene 14410	Gm14410	Mus musculus (Mouse)	370
A2ARR7	A2ARR7	A2ARR7_MOUSE	unreviewed	Predicted gene 14412	Gm14412	Mus musculus (Mouse)	526
A2ARR5	A2ARR5	A2ARR5_MOUSE	unreviewed	Predicted gene 14418	Gm14418	Mus musculus (Mouse)	64
A2ARL5	A2ARL5	A2ARL5_MOUSE	unreviewed	Predicted gene 14419 (Predicted gene 2004)	Gm14419 Gm2004	Mus musculus (Mouse)	582
B1AYE1	B1AYE1	B1AYE1_MOUSE	unreviewed	Zinc finger protein 970	Zfp970 Gm14420	Mus musculus (Mouse)	76
A2BE20	A2BE20	A2BE20_MOUSE	unreviewed	Novel KRAB box and zinc finger, C2H2 type domain containing protein (Zinc finger protein 965) (Zinc finger protein 973)	Zfp973 Zfp965 RP23-376N23.3-001 RP24-574J13.3-003	Mus musculus (Mouse)	318
A2ARX0	A2ARX0	A2ARX0_MOUSE	unreviewed	Predicted gene 14443	Gm14443	Mus musculus (Mouse)	610
F7CEW8	F7CEW8	F7CEW8_MOUSE	unreviewed	Predicted gene 11007 (Predicted gene 2007) (Predicted gene 4631)	Gm2007 Gm11007 Gm4631	Mus musculus (Mouse)	497
